# MIDI File: MIDI-Viva la vida.mid
# Tempo: 120.0 BPM
# Duration: 262.77 seconds
# Total Notes: 2579
# Tracks: 2

# Format: TIME_SEC | NOTE | DURATION | VELOCITY
# ==================================================

  18.750 | A#4  | 0.474s | vel= 80
  18.750 | C4   | 0.236s | vel= 80
  18.750 | G#3  | 0.236s | vel= 80
  18.750 | D#3  | 0.236s | vel= 80
  19.250 | A#4  | 0.236s | vel= 80
  19.250 | C4   | 0.236s | vel= 80
  19.250 | G#3  | 0.236s | vel= 80
  19.250 | D#3  | 0.236s | vel= 80
  19.500 | G#4  | 0.236s | vel= 80
  19.750 | C5   | 0.474s | vel= 80
  19.750 | C4   | 0.236s | vel= 80
  19.750 | G#3  | 0.236s | vel= 80
  19.750 | D#3  | 0.236s | vel= 80
  20.250 | D#4  | 0.236s | vel= 80
  20.250 | C4   | 0.236s | vel= 80
  20.250 | G#3  | 0.236s | vel= 80
  20.250 | D#3  | 0.236s | vel= 80
  20.500 | F4   | 0.474s | vel= 80
  20.500 | C4   | 0.236s | vel= 80
  20.500 | G#3  | 0.236s | vel= 80
  20.500 | F3   | 0.236s | vel= 80
  21.000 | C5   | 0.236s | vel= 80
  21.000 | C4   | 0.236s | vel= 80
  21.000 | G#3  | 0.236s | vel= 80
  21.000 | F3   | 0.711s | vel= 80
  21.250 | C5   | 0.236s | vel= 80
  21.250 | C4   | 0.236s | vel= 80
  21.250 | G#3  | 0.236s | vel= 80
  21.500 | C5   | 0.100s | vel= 80
  21.500 | C5   | 0.236s | vel= 80
  21.500 | C4   | 0.236s | vel= 80
  21.500 | G#3  | 0.236s | vel= 80
  21.750 | C5   | 0.236s | vel= 80
  22.000 | C5   | 0.474s | vel= 80
  22.000 | C4   | 0.236s | vel= 80
  22.000 | G#3  | 0.236s | vel= 80
  22.000 | F3   | 0.236s | vel= 80
  22.500 | C5   | 1.424s | vel= 80
  22.500 | C#4  | 0.236s | vel= 80
  22.500 | G#3  | 0.236s | vel= 80
  22.500 | C#3  | 0.236s | vel= 80
  23.000 | C#4  | 0.236s | vel= 80
  23.000 | G#3  | 0.236s | vel= 80
  23.000 | C#3  | 0.236s | vel= 80
  23.500 | C#4  | 0.236s | vel= 80
  23.500 | G#3  | 0.236s | vel= 80
  23.500 | C#3  | 0.236s | vel= 80
  24.000 | C#5  | 0.236s | vel= 80
  24.000 | C#4  | 0.236s | vel= 80
  24.000 | G#3  | 0.236s | vel= 80
  24.000 | C#3  | 0.236s | vel= 80
  24.250 | A#4  | 1.186s | vel= 80
  24.250 | D#4  | 0.236s | vel= 80
  24.250 | A#3  | 0.236s | vel= 80
  24.250 | D#3  | 0.236s | vel= 80
  24.750 | D#4  | 0.236s | vel= 80
  24.750 | A#3  | 0.236s | vel= 80
  24.750 | D#3  | 0.236s | vel= 80
  25.250 | D#4  | 0.236s | vel= 80
  25.250 | A#3  | 0.236s | vel= 80
  25.250 | D#3  | 0.236s | vel= 80
  25.500 | D#4  | 0.236s | vel= 80
  25.500 | A#3  | 0.236s | vel= 80
  25.500 | D#3  | 0.236s | vel= 80
  25.750 | A#4  | 0.474s | vel= 80
  26.000 | D#4  | 0.236s | vel= 80
  26.000 | A#3  | 0.236s | vel= 80
  26.000 | D#3  | 0.236s | vel= 80
  26.250 | G#4  | 0.236s | vel= 80
  26.500 | A#4  | 0.474s | vel= 80
  26.500 | C4   | 0.236s | vel= 80
  26.500 | G#3  | 0.236s | vel= 80
  26.500 | D#3  | 0.236s | vel= 80
  27.000 | A#4  | 0.474s | vel= 80
  27.000 | C4   | 0.236s | vel= 80
  27.000 | G#3  | 0.236s | vel= 80
  27.000 | D#3  | 0.236s | vel= 80
  27.500 | A#4  | 0.474s | vel= 80
  27.500 | C4   | 0.236s | vel= 80
  27.500 | G#3  | 0.236s | vel= 80
  27.500 | D#3  | 0.236s | vel= 80
  28.000 | C5   | 0.236s | vel= 80
  28.000 | C4   | 0.236s | vel= 80
  28.000 | G#3  | 0.236s | vel= 80
  28.000 | D#3  | 0.236s | vel= 80
  28.250 | G#4  | 0.236s | vel= 80
  28.250 | C4   | 0.236s | vel= 80
  28.250 | G#3  | 0.236s | vel= 80
  28.250 | F3   | 0.236s | vel= 80
  28.500 | G4   | 0.474s | vel= 80
  28.750 | F4   | 1.661s | vel= 80
  28.750 | C4   | 0.236s | vel= 80
  28.750 | G#3  | 0.236s | vel= 80
  28.750 | F3   | 0.236s | vel= 80
  29.250 | C4   | 0.236s | vel= 80
  29.250 | G#3  | 0.236s | vel= 80
  29.250 | F3   | 0.474s | vel= 80
  29.500 | C4   | 0.236s | vel= 80
  29.500 | G#3  | 0.236s | vel= 80
  30.000 | C4   | 0.236s | vel= 80
  30.000 | G#3  | 0.236s | vel= 80
  30.000 | F3   | 0.236s | vel= 80
  30.500 | C#5  | 0.236s | vel= 80
  30.500 | G#4  | 0.236s | vel= 80
  30.500 | C#4  | 0.236s | vel= 80
  30.500 | G#3  | 0.236s | vel= 80
  30.500 | C#3  | 0.236s | vel= 80
  31.000 | C#5  | 0.236s | vel= 80
  31.000 | G#4  | 0.236s | vel= 80
  31.000 | C#4  | 0.236s | vel= 80
  31.000 | G#3  | 0.236s | vel= 80
  31.000 | C#3  | 0.236s | vel= 80
  31.500 | C#5  | 0.236s | vel= 80
  31.500 | G#4  | 0.236s | vel= 80
  31.500 | C#4  | 0.236s | vel= 80
  31.500 | G#3  | 0.236s | vel= 80
  31.500 | C#3  | 0.236s | vel= 80
  32.000 | C#5  | 0.236s | vel= 80
  32.000 | G#4  | 0.236s | vel= 80
  32.000 | C#4  | 0.236s | vel= 80
  32.000 | G#3  | 0.236s | vel= 80
  32.000 | C#3  | 0.236s | vel= 80
  32.250 | C#5  | 0.236s | vel= 80
  32.250 | G4   | 0.236s | vel= 80
  32.250 | D#4  | 0.236s | vel= 80
  32.250 | A#3  | 0.236s | vel= 80
  32.250 | D#3  | 0.236s | vel= 80
  32.750 | C#5  | 0.236s | vel= 80
  32.750 | G4   | 0.236s | vel= 80
  32.750 | D#4  | 0.236s | vel= 80
  32.750 | A#3  | 0.236s | vel= 80
  32.750 | D#3  | 0.236s | vel= 80
  33.250 | C#5  | 0.236s | vel= 80
  33.250 | G4   | 0.236s | vel= 80
  33.250 | D#4  | 0.236s | vel= 80
  33.250 | A#3  | 0.236s | vel= 80
  33.250 | D#3  | 0.236s | vel= 80
  33.500 | C#5  | 0.236s | vel= 80
  33.500 | G4   | 0.236s | vel= 80
  33.500 | D#4  | 0.236s | vel= 80
  33.500 | A#3  | 0.236s | vel= 80
  33.500 | D#3  | 0.236s | vel= 80
  34.000 | C#5  | 0.236s | vel= 80
  34.000 | G4   | 0.236s | vel= 80
  34.000 | D#4  | 0.236s | vel= 80
  34.000 | A#3  | 0.236s | vel= 80
  34.000 | D#3  | 0.236s | vel= 80
  34.500 | C5   | 0.236s | vel= 80
  34.500 | G#4  | 0.236s | vel= 80
  34.500 | C4   | 0.236s | vel= 80
  34.500 | G#3  | 0.236s | vel= 80
  34.500 | D#3  | 0.236s | vel= 80
  35.000 | C5   | 0.236s | vel= 80
  35.000 | G#4  | 0.236s | vel= 80
  35.000 | C4   | 0.236s | vel= 80
  35.000 | G#3  | 0.236s | vel= 80
  35.000 | D#3  | 0.236s | vel= 80
  35.500 | C5   | 0.236s | vel= 80
  35.500 | G#4  | 0.236s | vel= 80
  35.500 | C4   | 0.236s | vel= 80
  35.500 | G#3  | 0.236s | vel= 80
  35.500 | D#3  | 0.236s | vel= 80
  36.000 | C5   | 0.236s | vel= 80
  36.000 | G#4  | 0.236s | vel= 80
  36.000 | C4   | 0.236s | vel= 80
  36.000 | G#3  | 0.236s | vel= 80
